Kreis-Id,NDVI
8226,0.520107977351026
8215,0.3435822332125217
8215,0.0197179655921941
8226,0.0123431758739839
8226,0.3680938908817652
8225,-0.0002802924114872
8125,0.0456427914603569
8126,0.1659180631264704
8128,0.0203123447951392
8225,0.0627416463442517
8128,0.0466187310070119
8126,0.0143754154156919
8125,0.1429892945548758
8128,0.2555465218144513
8225,0.3650782325100843
8225,0.005448004494726
8225,0.0563362156253414
8128,0.0126887817417938
8128,0.0368569124727941
8125,0.0080931080674932
8125,0.0341075324311659
8125,0.2635812362872372
8215,0.0870380452760067
8236,0.0960889017840347
8236,0.2610713136622278
8215,0.3597365131013467
8215,0.3043491468027792
8235,0.3428618652054417
8216,0.2356385590861238
8216,0.1226632702754843
8235,0.0851430683635943
8235,0.2626127604000193
8236,0.344368369655853
8216,0.0767160715043694
8235,0.2418327173732168
8236,0.1237782077637175
8235,0.0408230029498923
8115,0.086734103143048
8236,0.0412752456429913
8235,0.4015530252029859
8236,0.1563698247012158
8236,0.2784904135846614
8235,0.3028814134750869
8115,0.0724643275095923
8115,0.2722767252910123
8115,0.2487708721842344
8118,0.292049777480493
8236,0.0180792203693429
8118,0.0170584573507925
8118,0.0261615661478372
8236,0.38893422441495
8236,0.0242488049993652
8215,0.0296766344106241
8237,0.0766522968270075
8416,0.1090565558381124
8237,0.2459500980699713
8237,0.1869681581582797
8416,0.2130512248467494
8115,0.0879330681484299
8115,0.3828399167678452
8115,0.1761063023754728
8416,0.3541725933913926
8225,0.0064312586874953
8225,0.5511238906803451
8225,0.0314560990431304
8226,0.0605044858005071
8226,0.5143436549397478
8226,0.0126582427829726
8215,0.4884341834895014
8125,0.0255091360763351
8125,0.0151542698389087
8215,0.0341097439596694
8125,0.4855115407449366
8215,0.0128312282137962
8128,0.1206153472153296
8225,0.144636833623248
8225,0.0300898922410123
8128,0.0565222424844443
8235,0.0171326851655272
8237,0.0214896426021143
8235,0.021251615278463
8237,0.6113918404968126
8216,0.0289245128301575
8235,0.5392060501806388
8216,0.4608570966750508
8237,0.0343406470032568
8216,0.0129574986815694
8119,0.0096269939201284
8118,0.0197702167436249
8119,0.614764829656427
8118,0.0117998071861677
