date,feature_index,band_unnamed
2024-04-18T00:00:00.000Z,18,0.01803807822305659
2024-04-13T00:00:00.000Z,20,0.3873576879023213
2024-04-13T00:00:00.000Z,18,0.29925243951952174
2024-04-18T00:00:00.000Z,20,0.09730639600492859
2024-04-13T00:00:00.000Z,19,0.4448946280894855
2024-04-13T00:00:00.000Z,10,0.33558095368956636
2024-04-18T00:00:00.000Z,10,0.17728642843871364
2024-04-15T00:00:00.000Z,19,0.14947868617016163
2024-04-15T00:00:00.000Z,10,0.21748722425731762
2024-04-18T00:00:00.000Z,19,0.18857074246566632
2024-04-23T00:00:00.000Z,19,0.6845142014908074
2024-04-25T00:00:00.000Z,19,0.2724723217517402
2024-04-20T00:00:00.000Z,19,0.08320241094865398
2024-04-10T00:00:00.000Z,8,0.348900630512546
2024-04-10T00:00:00.000Z,7,0.3705692445953188
2024-04-03T00:00:00.000Z,10,0.08349028559430832
2024-04-03T00:00:00.000Z,19,0.09129521226791733
2024-04-08T00:00:00.000Z,7,0.40838108036791965
2024-04-08T00:00:00.000Z,8,0.45996826466991775
2024-04-05T00:00:00.000Z,8,0.4164191740663009
2024-04-10T00:00:00.000Z,10,0.24371534741774553
2024-04-08T00:00:00.000Z,10,0.4520688228694463
2024-04-05T00:00:00.000Z,19,0.20178108859986044
2024-04-05T00:00:00.000Z,10,0.3809842586533546
2024-04-10T00:00:00.000Z,19,0.141577089339263
2024-04-03T00:00:00.000Z,7,0.060379937208356924
2024-04-03T00:00:00.000Z,8,0.16272730642751376
2024-04-05T00:00:00.000Z,7,0.4351313239402682
2024-04-08T00:00:00.000Z,19,0.43590522627766004
2024-04-23T00:00:00.000Z,24,0.22261930201524785
2024-04-20T00:00:00.000Z,28,0.046458613040906205
2024-04-25T00:00:00.000Z,24,0.08719221916221734
2024-04-20T00:00:00.000Z,29,0.14122262044313094
2024-04-25T00:00:00.000Z,28,0.05260615860781117
2024-04-23T00:00:00.000Z,29,0.12569096534127658
2024-04-20T00:00:00.000Z,24,0.10931326333201039
2024-04-23T00:00:00.000Z,28,0.3328408820331565
2024-04-25T00:00:00.000Z,29,0.18492184587741398
2024-04-25T00:00:00.000Z,4,0.07947277748999215
2024-04-25T00:00:00.000Z,7,0.14548696501070288
2024-04-23T00:00:00.000Z,5,0.4155327815057256
2024-04-25T00:00:00.000Z,5,0.06709539896954721
2024-04-20T00:00:00.000Z,5,0.14275296544907765
2024-04-20T00:00:00.000Z,7,0.0616913661145167
2024-04-23T00:00:00.000Z,7,0.6496642272197801
2024-04-23T00:00:00.000Z,4,0.524667027467424
2024-04-20T00:00:00.000Z,4,0.04994956538315652
2024-04-13T00:00:00.000Z,22,0.49657912371414964
2024-04-18T00:00:00.000Z,36,0.317685487636771
2024-04-18T00:00:00.000Z,1,0.17603126783665096
2024-04-18T00:00:00.000Z,35,0.32313657193514833
2024-04-13T00:00:00.000Z,1,0.45449694390258766
2024-04-15T00:00:00.000Z,1,0.021684964571794755
2024-04-18T00:00:00.000Z,2,0.15915723416136862
2024-04-13T00:00:00.000Z,35,0.4829926013603866
2024-04-18T00:00:00.000Z,22,0.2767803992421577
2024-04-15T00:00:00.000Z,22,0.06418035842860378
2024-04-15T00:00:00.000Z,36,0.07545779585792857
2024-04-15T00:00:00.000Z,35,0.06035856477603515
2024-04-13T00:00:00.000Z,2,0.4243035742033859
2024-04-15T00:00:00.000Z,2,0.049167107090174904
2024-04-13T00:00:00.000Z,36,0.4380699105403084
2024-04-25T00:00:00.000Z,37,0.0981682151020531
2024-04-20T00:00:00.000Z,35,0.15217780600145459
2024-04-23T00:00:00.000Z,37,0.12142373802914075
2024-04-25T00:00:00.000Z,36,0.1474713073997881
2024-04-20T00:00:00.000Z,36,0.05916548569602829
2024-04-20T00:00:00.000Z,37,0.08014182878893708
2024-04-25T00:00:00.000Z,35,0.07448089799345615
2024-04-23T00:00:00.000Z,35,0.08225566958694533
2024-04-23T00:00:00.000Z,36,0.23856350856178707
2024-04-20T00:00:00.000Z,9,0.12859576489470081
2024-04-25T00:00:00.000Z,9,0.18320982573277556
2024-04-20T00:00:00.000Z,10,0.19337930793668975
2024-04-25T00:00:00.000Z,10,0.22528929227735528
2024-04-23T00:00:00.000Z,9,0.45632596348846405
2024-04-23T00:00:00.000Z,10,0.7018399331700692
2024-04-15T00:00:00.000Z,12,0.08004411944373822
2024-04-18T00:00:00.000Z,12,0.2181271098162784
2024-04-15T00:00:00.000Z,9,0.12385047237167401
2024-04-13T00:00:00.000Z,9,0.3954986909905788
2024-04-18T00:00:00.000Z,9,0.2278084630343191
2024-04-13T00:00:00.000Z,12,0.5391230904697344
2024-04-05T00:00:00.000Z,3,0.636940753055901
2024-04-10T00:00:00.000Z,39,0.12238805313111639
2024-04-03T00:00:00.000Z,11,0.24679771105938092
2024-04-10T00:00:00.000Z,3,0.19514598240443634
2024-04-10T00:00:00.000Z,11,0.12826846213225787
2024-04-03T00:00:00.000Z,39,0.12282006831538264
2024-04-08T00:00:00.000Z,3,0.5137770667278417
2024-04-03T00:00:00.000Z,3,0.13830588161253723
2024-04-05T00:00:00.000Z,11,0.5728562766107361
2024-04-05T00:00:00.000Z,39,0.5827823564014547
2024-04-08T00:00:00.000Z,39,0.47643702883239075
2024-04-08T00:00:00.000Z,11,0.4727938879067964
2024-04-03T00:00:00.000Z,24,0.04092627121944701
2024-04-03T00:00:00.000Z,28,0.026005589363554054
2024-04-03T00:00:00.000Z,30,0.03176772388942946
2024-04-05T00:00:00.000Z,24,0.5293096300827886
2024-04-03T00:00:00.000Z,29,0.03438526471621395
2024-04-10T00:00:00.000Z,29,0.19318354192440076
2024-04-08T00:00:00.000Z,29,0.4080342024999811
2024-04-08T00:00:00.000Z,30,0.21727187928809868
2024-04-08T00:00:00.000Z,28,0.0074010240922561385
2024-04-05T00:00:00.000Z,29,0.35051881765490706
2024-04-10T00:00:00.000Z,28,0.3166155372894663
2024-04-10T00:00:00.000Z,24,0.3207299242392139
2024-04-05T00:00:00.000Z,28,0.6409583674654392
2024-04-05T00:00:00.000Z,30,0.3161557953322316
2024-04-10T00:00:00.000Z,30,0.07355159928572566
2024-04-08T00:00:00.000Z,24,0.2883650135930893
2024-04-20T00:00:00.000Z,30,0.16279536680028608
2024-04-25T00:00:00.000Z,34,0.08991616652036431
2024-04-23T00:00:00.000Z,30,0.0646355292122347
2024-04-25T00:00:00.000Z,26,0.06860185056473952
2024-04-23T00:00:00.000Z,34,0.02837500112538313
2024-04-25T00:00:00.000Z,30,0.13297058046192586
2024-04-20T00:00:00.000Z,26,0.12604276700211564
2024-04-23T00:00:00.000Z,26,0.05382707118666332
2024-04-20T00:00:00.000Z,34,0.2957157740727179
2024-04-20T00:00:00.000Z,31,0.18457906590908596
2024-04-25T00:00:00.000Z,31,0.12627467905750073
2024-04-23T00:00:00.000Z,31,0.07891475792080303
2024-04-23T00:00:00.000Z,43,0.06704972518601512
2024-04-25T00:00:00.000Z,40,0.18341852967279934
2024-04-20T00:00:00.000Z,40,0.1481455004239542
2024-04-25T00:00:00.000Z,43,0.13052072842200566
2024-04-23T00:00:00.000Z,40,0.03102710037091953
2024-04-20T00:00:00.000Z,43,0.1936341619608821
2024-04-25T00:00:00.000Z,32,0.1283206738444981
2024-04-23T00:00:00.000Z,41,0.07791377369517002
2024-04-25T00:00:00.000Z,41,0.08138488645714267
2024-04-25T00:00:00.000Z,42,0.17301419621617656
2024-04-20T00:00:00.000Z,41,0.31103218501208413
2024-04-23T00:00:00.000Z,32,0.09461303251392035
2024-04-20T00:00:00.000Z,42,0.1819860914706622
2024-04-20T00:00:00.000Z,32,0.37439215062354325
2024-04-23T00:00:00.000Z,42,0.024842308862926352
2024-04-15T00:00:00.000Z,42,0.008512385107901924
2024-04-15T00:00:00.000Z,40,0.023193839227890787
2024-04-18T00:00:00.000Z,42,0.19102263909634595
2024-04-18T00:00:00.000Z,40,0.3090493963692971
2024-04-13T00:00:00.000Z,40,0.54649134005094
2024-04-13T00:00:00.000Z,42,0.6020957183390812
2024-05-08T00:00:00.000Z,20,0.028424796216550342
2024-05-08T00:00:00.000Z,18,0.019257537467757935
2024-05-13T00:00:00.000Z,15,0.41827328141692494
2024-05-13T00:00:00.000Z,18,0.18173289802858236
2024-05-18T00:00:00.000Z,20,0.06340285546737055
2024-05-18T00:00:00.000Z,15,0.30402578573209044
2024-05-13T00:00:00.000Z,20,0.3912388084054394
2024-05-18T00:00:00.000Z,18,-0.017850209954983775
2024-06-17T00:00:00.000Z,15,0.13822383752259915
2024-06-17T00:00:00.000Z,20,0.15998759203725682
2024-06-14T00:00:00.000Z,15,0.05202681314617937
2024-06-17T00:00:00.000Z,14,0.1437124119312005
2024-06-19T00:00:00.000Z,15,0.2595622756165879
2024-05-08T00:00:00.000Z,10,0.04081269514682977
2024-05-05T00:00:00.000Z,19,0.06368867947234541
2024-05-05T00:00:00.000Z,10,0.10217490098601445
2024-05-08T00:00:00.000Z,19,0.0448842872319608
2024-05-10T00:00:00.000Z,19,0.5242524976446743
2024-05-10T00:00:00.000Z,10,0.5810995026191987
2024-05-20T00:00:00.000Z,20,0.7023033543896083
2024-05-18T00:00:00.000Z,17,-0.0028341656446113084
2024-05-15T00:00:00.000Z,20,0.04247171199206394
2024-05-15T00:00:00.000Z,17,0.03507352326815154
2024-05-13T00:00:00.000Z,17,0.4734460414937046
2024-05-20T00:00:00.000Z,17,0.7666567581583664
2024-05-10T00:00:00.000Z,8,0.5219178916454777
2024-05-08T00:00:00.000Z,5,0.018324976464955216
2024-05-10T00:00:00.000Z,9,0.5459313105572771
2024-05-10T00:00:00.000Z,7,0.569320400535265
2024-05-05T00:00:00.000Z,9,0.0761675026880264
2024-05-05T00:00:00.000Z,8,0.14011704980063494
2024-05-08T00:00:00.000Z,9,0.0128034281656703
2024-05-05T00:00:00.000Z,7,0.11628820496969848
2024-05-10T00:00:00.000Z,5,0.6226263483944459
2024-05-08T00:00:00.000Z,7,0.03581007873535717
2024-05-08T00:00:00.000Z,8,0.025659207061976993
2024-05-05T00:00:00.000Z,5,0.13128379383782068
2024-06-22T00:00:00.000Z,20,0.03158333538154957
2024-06-27T00:00:00.000Z,17,0.6206244341413517
2024-06-24T00:00:00.000Z,17,0.3956520759602574
2024-06-27T00:00:00.000Z,20,0.6445974847500235
2024-06-29T00:00:00.000Z,17,0.4754107836262916
2024-06-22T00:00:00.000Z,18,0.030546570060549397
2024-06-27T00:00:00.000Z,18,0.4472177866829489
2024-06-24T00:00:00.000Z,20,0.5971855033534067
2024-06-22T00:00:00.000Z,17,0.030819832552262286
2024-06-29T00:00:00.000Z,20,0.4202376758857175
2024-06-24T00:00:00.000Z,19,0.617371159511041
2024-06-22T00:00:00.000Z,19,0.11551673564389263
2024-06-27T00:00:00.000Z,19,0.6526260831699939
2024-06-29T00:00:00.000Z,19,0.3580043818901845
2024-06-07T00:00:00.000Z,19,0.5731990785708707
2024-06-07T00:00:00.000Z,8,0.6388385545432137
2024-06-12T00:00:00.000Z,8,0.27300232788135453
2024-06-12T00:00:00.000Z,7,0.3843925429036652
2024-06-09T00:00:00.000Z,19,0.49215925643052344
