Kreis-Id,NDVI,Temperatur,Niederschlagsrate,Bestrahlungsstärke,Stadt
8115,0.26649123898133065,28274.760869565216,18011.0,11412636.29710145,"      Böblingen, Landkreis"
8115,0.2741502517905182,28416.71484375,37188.0,12780179.373046875,"      Böblingen, Landkreis"
8115,0.29586724229778855,28372.046875,29366.875,12503422.569444444,"      Böblingen, Landkreis"
8115,0.2548693115680977,28338.950862068967,30984.125,12312147.156034483,"      Böblingen, Landkreis"
8115,0.3018728057865054,28362.755993150684,33347.875,12337253.006849315,"      Böblingen, Landkreis"
8115,0.24757424504848116,28220.246575342466,47935.375,11574747.45890411,"      Böblingen, Landkreis"
8115,0.30801016290635,28409.307291666668,34449.0,12750026.897569444,"      Böblingen, Landkreis"
8115,0.2651858377464216,28392.384417808218,41052.375,12074202.412671233,"      Böblingen, Landkreis"
8115,0.2753530047992229,28397.250856164384,34064.125,11622687.59589041,"      Böblingen, Landkreis"
8115,0.28134928876176296,28342.348265895955,49473.875,12166336.512283238,"      Böblingen, Landkreis"
8116,0.2638182218708689,28304.576811594205,17295.0,11415525.055072462,"      Esslingen, Landkreis"
8116,0.28691516866701716,28444.5484375,34529.8,12639642.0421875,"      Esslingen, Landkreis"
8116,0.30112963158890477,28398.991666666665,29860.4,12330248.3625,"      Esslingen, Landkreis"
8116,0.28079682572058745,28364.198620689654,30501.8,12220953.551724138,"      Esslingen, Landkreis"
8116,0.3031345345284344,28383.683561643833,33706.6,12175178.578082193,"      Esslingen, Landkreis"
8116,0.26300959105324556,28244.960273972603,48526.6,11523217.469863012,"      Esslingen, Landkreis"
8116,0.3176101761581419,28436.01388888889,32557.0,12656267.879166666,"      Esslingen, Landkreis"
8116,0.27471874552387965,28420.2,39021.8,11988563.056164384,"      Esslingen, Landkreis"
8116,0.2881584800614335,28430.36301369863,31624.600000000002,11513725.226027397,"      Esslingen, Landkreis"
8116,0.2893875125420412,28367.664739884392,46954.6,12038423.855491329,"      Esslingen, Landkreis"
8117,0.27515199032008286,28256.442028985508,19339.125,11494224.231884059,"      Göppingen, Landkreis"
8117,0.2981491806164505,28389.333333333332,38484.75,12593694.710271318,"      Göppingen, Landkreis"
8117,0.300586987649303,28348.25,35886.0,12267908.489583334,"      Göppingen, Landkreis"
8117,0.2885477702134777,28312.130172413792,35802.5,12209649.70862069,"      Göppingen, Landkreis"
8117,0.30506031339277373,28324.863869863013,38676.625,12094579.142123288,"      Göppingen, Landkreis"
8117,0.2672704987617655,28191.345034246577,54221.0,11601783.670376712,"      Göppingen, Landkreis"
8117,0.3179715907633042,28378.65017361111,38990.375,12652275.527777778,"      Göppingen, Landkreis"
8117,0.28886227042937995,28361.593321917808,46673.0,11950995.996575342,"      Göppingen, Landkreis"
8117,0.29227495713402474,28383.068493150684,36918.75,11475553.709760275,"      Göppingen, Landkreis"
8117,0.29525940213600604,28312.518786127166,52725.875,11995761.818641618,"      Göppingen, Landkreis"
8118,0.2414071300470232,28364.876811594204,15406.5,11186076.880434783,"      Ludwigsburg, Landkreis"
8118,0.2712953124420589,28507.2841796875,36377.0,12509004.564453125,"      Ludwigsburg, Landkreis"
8118,0.26729335555256084,28474.255208333332,28669.5,12375116.373263888,"      Ludwigsburg, Landkreis"
8118,0.24778883500725998,28431.225,29837.5,12176357.675,"      Ludwigsburg, Landkreis"
